--------------------------------------------------
492 cases of STEM IN BOTH
Case 222: gambyamAna: in pysan
Case 223: garbyamARa: in pysan
Case 224: garvyamARa: in pysan
Case 225: gAjyamAna: in pysan
Case 226: gAqyamAna: in pysan
Case 227: gAdyamAna: in pysan
Case 228: gADyamAna: in pysan
Case 229: gAyamAna: in pysan
Case 230: gAryamARa: in pysan
Case 231: guYjyamAna: in pysan
Case 232: guqyamAna: in pysan
Case 233: guRWyamAna: in pysan
Case 234: guRqyamAna: in pysan
Case 235: gudyamAna: in pysan
Case 236: guDyamAna: in pysan
Case 237: gupyamAna: in pysan
Case 238: gumPyamAna: in pysan
Case 239: gurdyamAna: in pysan
Case 240: gurvyamARa: in pysan
Case 241: gUyamAna: in pysan
Case 242: gUrdyamAna: in pysan
Case 243: gUrDyamAna: in pysan
Case 244: gepyamAna: in pysan
Case 245: gevyamAna: in pysan
Case 246: gezyamARa: in pysan
Case 247: gopAyyamAna: in pysan
Case 248: griyamARa: in pysan
Case 249: grucyamAna: in pysan
Case 250: glasyamAna: in pysan
Case 251: glAyamAna: in pysan
Case 252: glucyamAna: in pysan
Case 253: gluYcyamAna: in pysan
Case 254: glepyamAna: in pysan
Case 255: glevyamAna: in pysan
Case 256: glezyamARa: in pysan
Case 257: GaMzyamARa: in pysan
Case 258: GagGyamAna: in pysan
Case 259: GaRwyamAna: in pysan
Case 260: GaRyamAna: in pysan
Case 261: GambyamAna: in pysan
Case 262: GarbyamARa: in pysan
Case 263: GAryamARa: in pysan
Case 264: GiRRyamAna: in pysan
Case 265: GuwyamAna: in pysan
Case 266: GuqyamAna: in pysan
Case 267: GuRRyamAna: in pysan
Case 268: GuRyamAna: in pysan
Case 269: GUyamAna: in pysan
Case 270: GUryamARa: in pysan
Case 271: GfRRyamAna: in pysan
Case 272: GfRyamAna: in pysan
Case 273: GolyamAna: in pysan
Case 274: GrAyamARa: in pysan
Case 275: NUyamAna: in pysan
Case 276: cakkyamAna: in pysan
Case 277: cakyamAna: in pysan
Case 278: caGyamAna: in pysan
Case 279: caYcyamAna: in pysan
Case 280: caRqyamAna: in pysan
Case 281: caRyamAna: in pysan
Case 282: cadyamAna: in pysan
Case 283: canyamAna: in pysan
Case 284: capyamAna: in pysan
Case 285: campyamAna: in pysan
Case 286: cambyamAna: in pysan
Case 287: cayyamAna: in pysan
Case 288: carGyamARa: in pysan
Case 289: carcyamAna: in pysan
Case 290: carbyamARa: in pysan
Case 291: carvyamARa: in pysan
Case 292: cahyamAna: in pysan
Case 293: cAhyamAna: in pysan
Case 294: cikkyamAna: in pysan
Case 295: ciwyamAna: in pysan
Case 296: cintyamAna: in pysan
Case 297: cirIyamARa: in pysan
Case 298: cilyamAna: in pysan
Case 299: cIkyamAna: in pysan
Case 300: cIvyamAna: in pysan
Case 301: cukkyamAna: in pysan
Case 302: cuwwyamAna: in pysan
Case 303: cuwyamAna: in pysan
Case 304: cuqqyamAna: in pysan
Case 305: cuqyamAna: in pysan
Case 306: cuRWyamAna: in pysan
Case 307: cuRyamAna: in pysan
Case 308: cutyamAna: in pysan
Case 309: cupyamAna: in pysan
Case 310: culumpyamAna: in pysan
Case 311: cURyamAna: in pysan
Case 312: cUrRyamAna: in pysan
Case 313: cUryamARa: in pysan
Case 314: cftyamAna: in pysan
Case 315: celyamAna: in pysan
Case 316: cowyamAna: in pysan
Case 317: colyamAna: in pysan
Case 318: cyAvyamAna: in pysan
Case 319: cyutyamAna: in pysan
Case 320: cyosyamAna: in pysan
Case 321: CampyamAna: in pysan
Case 322: CamyamAna: in pysan
Case 323: CazyamARa: in pysan
Case 324: CAdyamAna: in pysan
Case 325: CAlyamAna: in pysan
Case 326: CuwyamAna: in pysan
Case 327: CuqyamAna: in pysan
Case 328: CupyamAna: in pysan
Case 329: CuryamARa: in pysan
Case 330: CfdyamAna: in pysan
Case 331: CfpyamARa: in pysan
Case 332: CowyamAna: in pysan
Case 333: CoyamAna: in pysan
Case 334: jaMsyamAna: in pysan
Case 335: jaNkzyamARa: in pysan
Case 336: jajyamAna: in pysan
Case 337: jarcyamAna: in pysan
Case 338: jarCyamAna: in pysan
Case 339: jarjyamAna: in pysan
Case 340: jartsyamAna: in pysan
Case 341: jalyamAna: in pysan
Case 342: jAyamAna: in pysan
Case 343: jAlyamAna: in pysan
Case 344: jimyamAna: in pysan
Case 345: jirIyamARa: in pysan
Case 346: jizyamARa: in pysan
Case 347: juNgyamAna: in pysan
Case 348: juYcyamAna: in pysan
Case 349: juwyamAna: in pysan
Case 350: juqyamAna: in pysan
Case 351: junyamAna: in pysan
Case 352: juryamARa: in pysan
Case 353: jUryamARa: in pysan
Case 354: jUrvyamARa: in pysan
Case 355: jezyamARa: in pysan
Case 356: jehyamAna: in pysan
Case 357: jEyamAna: in pysan
Case 358: joqyamAna: in pysan
Case 359: jolyamAna: in pysan
Case 360: jyAyamAna: in pysan
Case 361: jriyamARa: in pysan
Case 362: jrIyamARa: in pysan
Case 363: JawyamAna: in pysan
Case 364: JamyamAna: in pysan
Case 365: JarcyamAna: in pysan
Case 366: JazyamARa: in pysan
Case 367: JIryamARa: in pysan
Case 368: JUyamAna: in pysan
Case 369: JUzyamARa: in pysan
Case 370: JyUyamAna: in pysan
Case 371: waNkyamAna: in pysan
Case 372: wikyamAna: in pysan
Case 373: wIkyamAna: in pysan
Case 374: wOkyamAna: in pysan
Case 375: wvalyamAna: in pysan
Case 376: qampyamAna: in pysan
Case 377: qamByamAna: in pysan
Case 378: qamyamAna: in pysan
Case 379: qApyamAna: in pysan
Case 380: qipyamAna: in pysan
Case 381: qepyamAna: in pysan
Case 382: QOkyamAna: in pysan
Case 383: taNkyamAna: in pysan
Case 384: taNgyamAna: in pysan
Case 385: taYcyamAna: in pysan
Case 386: tawyamAna: in pysan
Case 387: taRqyamAna: in pysan
Case 388: tandyamAna: in pysan
Case 389: tayyamAna: in pysan
Case 390: tardyamAna: in pysan
Case 391: talyamAna: in pysan
Case 392: tasyamAna: in pysan
Case 393: tAqyamAna: in pysan
Case 394: tAyamAna: in pysan
Case 395: tAyyamAna: in pysan
Case 396: tAlyamAna: in pysan
Case 397: tikyamAna: in pysan
Case 398: tigyamAna: in pysan
Case 399: tiGyamAna: in pysan
Case 400: tipyamAna: in pysan
Case 401: timyamAna: in pysan
Case 402: tilyamAna: in pysan
Case 403: tillyamAna: in pysan
Case 404: tIkyamAna: in pysan
Case 405: tImyamAna: in pysan
Case 406: tIvyamAna: in pysan
Case 407: tujyamAna: in pysan
Case 408: tuwyamAna: in pysan
Case 409: tuqqyamAna: in pysan
Case 410: tuqyamAna: in pysan
Case 411: tuRqyamAna: in pysan
Case 412: tuRyamAna: in pysan
Case 413: tundyamAna: in pysan
Case 414: tuByamAna: in pysan
Case 415: tumpyamAna: in pysan
Case 416: tumbyamAna: in pysan
Case 417: turyamARa: in pysan
Case 418: turvyamARa: in pysan
Case 419: tuSyamAna: in pysan
Case 420: tusyamAna: in pysan
Case 421: tuhyamAna: in pysan
Case 422: tUqyamAna: in pysan
Case 423: tURyamAna: in pysan
Case 424: tUyamAna: in pysan
Case 425: tUlyamAna: in pysan
Case 426: tUzyamARa: in pysan
Case 427: tfkzyamARa: in pysan
Case 428: tfRyamAna: in pysan
Case 429: tfPyamARa: in pysan
Case 430: tfmpyamARa: in pysan
Case 431: tfmPyamARa: in pysan
Case 432: tfhyamARa: in pysan
Case 433: tepyamAna: in pysan
Case 434: telyamAna: in pysan
Case 435: tevyamAna: in pysan
Case 436: toqyamAna: in pysan
Case 437: tolyamAna: in pysan
Case 438: traMsyamAna: in pysan
Case 439: traKyamARa: in pysan
Case 440: trandyamAna: in pysan
Case 441: trAyamARa: in pysan
Case 442: trAsyamAna: in pysan
Case 443: triNKyamARa: in pysan
Case 444: trupyamARa: in pysan
Case 445: truPyamARa: in pysan
Case 446: trumpyamARa: in pysan
Case 447: trumPyamARa: in pysan
Case 448: trOkyamARa: in pysan
Case 449: tvaNgyamAna: in pysan
Case 450: tvacyamAna: in pysan
Case 451: tvaYcyamAna: in pysan
Case 452: TarvyamARa: in pysan
Case 453: TuqyamAna: in pysan
Case 454: TurvyamARa: in pysan
Case 455: daMSyamAna: in pysan
Case 456: daMsyamAna: in pysan
Case 457: daMhyamAna: in pysan
Case 458: daNGyamAna: in pysan
Case 459: dadyamAna: in pysan
Case 460: daDyamAna: in pysan
Case 461: danvyamAna: in pysan
Case 462: darByamARa: in pysan
Case 463: dAnyamAna: in pysan
Case 464: dAyamAna: in pysan
Case 465: dAyyamAna: in pysan
Case 466: dAsyamAna: in pysan
Case 467: dinvyamAna: in pysan
Case 468: dipyamAna: in pysan
Case 469: dimpyamAna: in pysan
Case 470: dimByamAna: in pysan
Case 471: dIDIyamAna: in pysan
Case 472: duDyamAna: in pysan
Case 473: durvyamARa: in pysan
Case 474: dfMhyamARa: in pysan
Case 475: dEyamAna: in pysan
Case 476: dolyamAna: in pysan
Case 477: dyAyamAna: in pysan
Case 478: dyutyamAna: in pysan
Case 479: dyUyamAna: in pysan
Case 480: dramyamARa: in pysan
Case 481: drAKyamARa: in pysan
Case 482: drANkzyamARa: in pysan
Case 483: drAqyamAna: in pysan
Case 484: drAyamARa: in pysan
Case 485: drAhyamARa: in pysan
Case 486: driyamARa: in pysan
Case 487: druqyamAna: in pysan
Case 488: druRyamAna: in pysan
Case 489: drummyamARa: in pysan
Case 490: drUqyamAna: in pysan
Case 491: drUyamARa: in pysan
Case 492: drekyamARa: in pysan
Case 493: dvaryamARa: in pysan
Case 494: DakkyamAna: in pysan
Case 495: DaRyamAna: in pysan
Case 496: DanyamAna: in pysan
Case 497: DavyamAna: in pysan
Case 498: DikzyamARa: in pysan
Case 499: DizyamARa: in pysan
Case 500: DIkzyamARa: in pysan
Case 501: DIryamARa: in pysan
Case 502: DUpyamAna: in pysan
Case 503: DUryamARa: in pysan
Case 504: DUrvyamARa: in pysan
Case 505: DUSyamAna: in pysan
Case 506: DfjyamAna: in pysan
Case 507: DoryamARa: in pysan
Case 508: DmAyamAna: in pysan
Case 509: DyAyamAna: in pysan
Case 510: DrajyamAna: in pysan
Case 511: DraRyamAna: in pysan
Case 512: DrasyamAna: in pysan
Case 513: DrAyamARa: in pysan
Case 514: DrijyamAna: in pysan
Case 515: DrekyamARa: in pysan
Case 516: DvaMsyamAna: in pysan
Case 517: DvajyamAna: in pysan
Case 518: DvaRyamAna: in pysan
Case 519: DvraRyamAna: in pysan
Case 520: nakkyamAna: in pysan
Case 521: naKyamAna: in pysan
Case 522: najyamAna: in pysan
Case 523: naByamAna: in pysan
Case 524: nambyamAna: in pysan
Case 525: nayyamAna: in pysan
Case 526: narbyamARa: in pysan
Case 527: nalyamAna: in pysan
Case 528: nasyamAna: in pysan
Case 529: nAqyamAna: in pysan
Case 530: nADyamAna: in pysan
Case 531: nAlyamAna: in pysan
Case 532: nAsyamAna: in pysan
Case 533: niMsyamAna: in pysan
Case 534: nikzyamARa: in pysan
Case 535: niYjyamAna: in pysan
Case 536: ninvyamAna: in pysan
Case 537: nilyamAna: in pysan
Case 538: niSyamAna: in pysan
Case 539: nizkyamARa: in pysan
Case 540: nizyamARa: in pysan
Case 541: nIryamARa: in pysan
Case 542: nIlyamAna: in pysan
Case 543: nIvyamAna: in pysan
Case 544: nuqyamAna: in pysan
Case 545: nedyamAna: in pysan
Case 546: nezyamARa: in pysan
Case 547: paMSyamAna: in pysan
Case 548: pakzyamARa: in pysan
Case 549: paRAyyamAna: in pysan
Case 550: paRqyamAna: in pysan
Case 551: panAyyamAna: in pysan
Case 552: panTyamAna: in pysan
Case 553: panyamAna: in pysan
Case 554: pambyamAna: in pysan
Case 555: payyamAna: in pysan
Case 556: parRyamAna: in pysan
Case 557: pardyamAna: in pysan
Case 558: parpyamARa: in pysan
Case 559: parbyamARa: in pysan
Case 560: parvyamARa: in pysan
Case 561: parzyamARa: in pysan
Case 562: palyamAna: in pysan
Case 563: pallyamAna: in pysan
Case 564: pavyamAna: in pysan
Case 565: pazyamARa: in pysan
Case 566: pasyamAna: in pysan
Case 567: pAwyamAna: in pysan
Case 568: pAyamAna: in pysan
Case 569: pAyyamAna: in pysan
Case 570: pAlyamAna: in pysan
Case 571: pASyamAna: in pysan
Case 572: pAsyamAna: in pysan
Case 573: piMsyamAna: in pysan
Case 574: piccyamAna: in pysan
Case 575: piCyamAna: in pysan
Case 576: piYjyamAna: in pysan
Case 577: piwyamAna: in pysan
Case 578: piWyamAna: in pysan
Case 579: piRqyamAna: in pysan
Case 580: pinvyamAna: in pysan
Case 581: pisyamAna: in pysan
Case 582: pIlyamAna: in pysan
Case 583: puMsyamAna: in pysan
Case 584: puCyamAna: in pysan
Case 585: puwwyamAna: in pysan
Case 586: puwyamAna: in pysan
Case 587: puqyamAna: in pysan
Case 588: puRwyamAna: in pysan
Case 589: puRqyamAna: in pysan
Case 590: puRyamAna: in pysan
Case 591: puryamARa: in pysan
Case 592: purvyamARa: in pysan
Case 593: pustyamAna: in pysan
Case 594: pURyamAna: in pysan
Case 595: pUrvyamARa: in pysan
Case 596: pUlyamAna: in pysan
Case 597: pUzyamARa: in pysan
Case 598: pfjyamAna: in pysan
Case 599: pfqyamAna: in pysan
Case 600: pfRyamAna: in pysan
Case 601: peCyamAna: in pysan
Case 602: peRyamAna: in pysan
Case 603: pebyamAna: in pysan
Case 604: pelyamAna: in pysan
Case 605: pevyamAna: in pysan
Case 606: pezyamARa: in pysan
Case 607: pesyamAna: in pysan
Case 608: pERyamAna: in pysan
Case 609: poYCyamAna: in pysan
Case 610: powyamAna: in pysan
Case 611: poRyamAna: in pysan
Case 612: posyamAna: in pysan
Case 613: pyAyamAna: in pysan
Case 614: pyuzyamARa: in pysan
Case 615: pyusyamAna: in pysan
Case 616: pyozyamARa: in pysan
Case 617: praCyamAna: in pysan
Case 618: prasyamAna: in pysan
Case 619: prATyamAna: in pysan
Case 620: prAyamARa: in pysan
Case 621: pruTyamAna: in pysan
Case 622: pruzyamARa: in pysan
Case 623: prezyamARa: in pysan
Case 624: prERyamAna: in pysan
Case 625: proTyamAna: in pysan
Case 626: prozyamARa: in pysan
Case 627: plakzyamARa: in pysan
Case 628: plabyamAna: in pysan
Case 629: plihyamAna: in pysan
Case 630: plIyamAna: in pysan
Case 631: plusyamAna: in pysan
Case 632: plUyamAna: in pysan
Case 633: plevyamAna: in pysan
Case 634: psAyamAna: in pysan
Case 635: PakkyamAna: in pysan
Case 636: PaRyamAna: in pysan
Case 637: ParvyamARa: in pysan
Case 638: PelyamAna: in pysan
Case 639: baMhyamAna: in pysan
Case 640: badyamAna: in pysan
Case 641: barbyamARa: in pysan
Case 642: barhyamARa: in pysan
Case 643: bAqyamAna: in pysan
Case 644: bAlyamAna: in pysan
Case 645: biwyamAna: in pysan
Case 646: bidyamAna: in pysan
Case 647: bilyamAna: in pysan
Case 648: biSyamAna: in pysan
Case 649: bisyamAna: in pysan
Case 650: bIByamAna: in pysan
Case 651: bukkyamAna: in pysan
Case 652: buNgyamAna: in pysan
Case 653: buwyamAna: in pysan
Case 654: buqyamAna: in pysan
Case 655: budyamAna: in pysan
Case 656: bundyamAna: in pysan
Case 657: bunDyamAna: in pysan
Case 658: busyamAna: in pysan
Case 659: bfMhyamARa: in pysan
Case 660: belyamAna: in pysan
Case 661: bowyamAna: in pysan
Case 662: bolyamAna: in pysan
Case 663: brahmyamARa: in pysan
Case 664: BawyamAna: in pysan
Case 665: BaRwyamAna: in pysan
Case 666: BanyamAna: in pysan
Case 667: BarbyamARa: in pysan
Case 668: BarvyamARa: in pysan
Case 669: BalyamAna: in pysan
Case 670: BAwyamAna: in pysan
Case 671: BAmyamAna: in pysan
Case 672: BAlyamAna: in pysan
Case 673: BikzyamARa: in pysan
Case 674: BindyamAna: in pysan
Case 675: BuRqyamAna: in pysan
Case 676: BUryamARa: in pysan
Case 677: BfMSyamAna: in pysan
Case 678: BfkzyamARa: in pysan
Case 679: BfjyamAna: in pysan
Case 680: BfqyamAna: in pysan
Case 681: BfSyamAna: in pysan
Case 682: BezyamARa: in pysan
Case 683: ByasyamAna: in pysan
Case 684: BrakzyamARa: in pysan
Case 685: BrajjyamAna: in pysan
Case 686: BraRyamAna: in pysan
Case 687: BrASyamAna: in pysan
Case 688: BrIyamARa: in pysan
Case 689: BruqyamAna: in pysan
Case 690: BrURyamAna: in pysan
Case 691: BrezyamARa: in pysan
Case 692: BlASyamAna: in pysan
Case 693: maMhyamAna: in pysan
Case 694: makzyamARa: in pysan
Case 695: maKyamAna: in pysan
Case 696: maNkyamAna: in pysan
Case 697: maNgyamAna: in pysan
Case 698: maNGyamAna: in pysan
Case 699: macyamAna: in pysan
Case 700: maYcyamAna: in pysan
Case 701: maYjyamAna: in pysan
Case 702: maWyamAna: in pysan
Case 703: maRwyamAna: in pysan
Case 704: maRWyamAna: in pysan
Case 705: maRyamAna: in pysan
Case 706: mantryamARa: in pysan
Case 707: maBryamARa: in pysan
Case 708: mambyamAna: in pysan
Case 709: mayyamAna: in pysan
Case 710: marcyamAna: in pysan
Case 711: marjyamAna: in pysan
Case 712: marbyamARa: in pysan
Case 713: marvyamARa: in pysan
Case 714: malyamAna: in pysan
Case 715: mallyamAna: in pysan
Case 716: mavyamAna: in pysan
Case 717: mavyyamAna: in pysan
Case 718: maSyamAna: in pysan
Case 719: maskyamAna: in pysan
Case 720: masyamAna: in pysan
Case 721: mANkzyamARa: in pysan
Case 722: mAqyamAna: in pysan
Case 723: mAnTyamAna: in pysan
Case 724: mAnyamAna: in pysan
Case 725: mAyyamAna: in pysan
Case 726: mArjyamAna: in pysan
Case 727: mAlyamAna: in pysan
Case 728: mAhyamAna: in pysan
Case 729: miCyamAna: in pysan
Case 730: miYjyamAna: in pysan
Case 731: miDyamAna: in pysan
Case 732: miSyamAna: in pysan
Case 733: miSryamARa: in pysan
Case 734: misyamAna: in pysan
Case 735: mImyamAna: in pysan
Case 736: mIvyamAna: in pysan
Case 737: muCyamAna: in pysan
Case 738: mujyamAna: in pysan
Case 739: muYcyamAna: in pysan
Case 740: muwyamAna: in pysan
Case 741: muqyamAna: in pysan
Case 742: muRqyamAna: in pysan
Case 743: muRyamAna: in pysan
Case 744: murCyamAna: in pysan
Case 745: muryamARa: in pysan
Case 746: murvyamARa: in pysan
Case 747: mustyamAna: in pysan
Case 748: mUyamAna: in pysan
Case 749: mUryamARa: in pysan
Case 750: mUlyamAna: in pysan
Case 751: mfgyamARa: in pysan
Case 752: mfCyamAna: in pysan
Case 753: mfRyamAna: in pysan
Case 754: meqyamAna: in pysan
Case 755: mepyamAna: in pysan
Case 756: meyamAna: in pysan
Case 757: mevyamAna: in pysan
Case 758: mojyamAna: in pysan
Case 759: mowyamAna: in pysan
Case 760: modyamAna: in pysan
Case 761: myakzyamARa: in pysan
Case 762: mrakzyamARa: in pysan
Case 763: mradyamAna: in pysan
Case 764: mrityamAna: in pysan
Case 765: mrucyamAna: in pysan
Case 766: mruYcyamAna: in pysan
Case 767: mreqyamAna: in pysan
Case 768: mlakzyamARa: in pysan
Case 769: mlAyamAna: in pysan
Case 770: mlucyamAna: in pysan
Case 771: mluYcyamAna: in pysan
Case 772: mleCyamAna: in pysan
Case 773: mlewyamAna: in pysan
Case 774: mlevyamAna: in pysan
Case 775: yakzyamARa: in pysan
Case 776: yantryamARa: in pysan
Case 777: yAyamAna: in pysan
Case 778: yuNgyamAna: in pysan
Case 779: yuCyamAna: in pysan
Case 780: yutyamAna: in pysan
Case 781: yupyamAna: in pysan
Case 782: yUzyamARa: in pysan
Case 783: yezyamARa: in pysan
Case 784: yOwyamAna: in pysan
Case 785: raKyamARa: in pysan
Case 786: ragyamARa: in pysan
Case 787: raNKyamARa: in pysan
Case 788: raNgyamARa: in pysan
Case 789: raNGyamARa: in pysan
Case 790: rawyamAna: in pysan
Case 791: raWyamAna: in pysan
Case 792: raRvyamAna: in pysan
Case 793: rapyamARa: in pysan
Case 794: raPyamARa: in pysan
Case 795: ramPyamARa: in pysan
Case 796: rambyamARa: in pysan
Case 797: ramByamARa: in pysan
Case 798: rayyamARa: in pysan
Case 799: rasyamAna: in pysan
Case 800: rAkyamARa: in pysan
Case 801: rAKyamARa: in pysan
Case 802: rAgyamARa: in pysan
Case 803: rAGyamARa: in pysan
Case 804: rARyamAna: in pysan
Case 805: rAyamARa: in pysan
Case 806: rAsyamAna: in pysan
Case 807: riKyamARa: in pysan
Case 808: riNKyamARa: in pysan
Case 809: riNgyamARa: in pysan
Case 810: riRvyamAna: in pysan
Case 811: riPyamARa: in pysan
Case 812: riByamARa: in pysan
Case 813: rimPyamARa: in pysan
Case 814: riSyamAna: in pysan
Case 815: rihyamARa: in pysan
Case 816: rIvyamARa: in pysan
Case 817: ruMSyamAna: in pysan
Case 818: rucyamAna: in pysan
Case 819: ruWyamAna: in pysan
Case 820: ruRwyamAna: in pysan
Case 821: ruRWyamAna: in pysan
Case 822: rupyamARa: in pysan
Case 823: ruSyamAna: in pysan
Case 824: rUkzyamARa: in pysan
Case 825: rUzyamARa: in pysan
Case 826: rekyamARa: in pysan
Case 827: rejyamAna: in pysan
Case 828: rewyamAna: in pysan
Case 829: reqyamAna: in pysan
Case 830: repyamARa: in pysan
Case 831: rezyamARa: in pysan
Case 832: rEyamARa: in pysan
Case 833: rowyamAna: in pysan
Case 834: roqyamAna: in pysan
Case 835: rOwyamAna: in pysan
Case 836: laKyamAna: in pysan
Case 837: laCyamAna: in pysan
Case 838: lajyamAna: in pysan
Case 839: laYjyamAna: in pysan
Case 840: lawyamAna: in pysan
Case 841: laqyamAna: in pysan
Case 842: laRqyamAna: in pysan
Case 843: lamByamAna: in pysan
Case 844: layyamAna: in pysan
Case 845: lardyamAna: in pysan
Case 846: larbyamARa: in pysan
Case 847: lAkyamAna: in pysan
Case 848: lAKyamAna: in pysan
Case 849: lAgyamAna: in pysan
Case 850: lAGyamAna: in pysan
Case 851: lAjyamAna: in pysan
Case 852: lAYjyamAna: in pysan
Case 853: lAqyamAna: in pysan
Case 854: lAByamAna: in pysan
Case 855: lAyamAna: in pysan
Case 856: lASyamAna: in pysan
Case 857: lAzyamARa: in pysan
Case 858: lAsyamAna: in pysan
Case 859: liNKyamAna: in pysan
Case 860: liNgyamAna: in pysan
Case 861: luYcyamAna: in pysan
Case 862: luwyamAna: in pysan
Case 863: luqyamAna: in pysan
Case 864: luRwyamAna: in pysan
Case 865: lunTyamAna: in pysan
Case 866: lumbyamAna: in pysan
Case 867: luzyamARa: in pysan
Case 868: lUzyamARa: in pysan
Case 869: lepyamAna: in pysan
Case 870: lERyamAna: in pysan
Case 871: lowyamAna: in pysan
Case 872: loWyamAna: in pysan
Case 873: lozwyamAna: in pysan
Case 874: lOqyamAna: in pysan
Case 875: lpIyamAna: in pysan
Case 876: lvIyamAna: in pysan
Case 877: vakkyamAna: in pysan
Case 878: vakyamAna: in pysan
Case 879: vakzyamARa: in pysan
Case 880: vaKyamAna: in pysan
Case 881: vaNKyamAna: in pysan
Case 882: vaNgyamAna: in pysan
Case 883: vaNGyamAna: in pysan
Case 884: vajyamAna: in pysan
Case 885: vaYcyamAna: in pysan
Case 886: vawwyamAna: in pysan
Case 887: vawyamAna: in pysan
Case 888: vaWyamAna: in pysan
Case 889: vaqQyamAna: in pysan
Case 890: vaRwyamAna: in pysan
Case 891: vaRWyamAna: in pysan
Case 892: vaRqyamAna: in pysan
Case 893: vaRyamAna: in pysan
Case 894: vaBryamARa: in pysan
Case 895: vayyamAna: in pysan
Case 896: varcyamAna: in pysan
Case 897: varRyamAna: in pysan
Case 898: varDyamAna: in pysan
Case 899: varPyamARa: in pysan
Case 900: valkyamAna: in pysan
Case 901: valByamAna: in pysan
Case 902: vallyamAna: in pysan
Case 903: valhyamAna: in pysan
Case 904: vazkyamARa: in pysan
Case 905: vazyamARa: in pysan
Case 906: vaskyamAna: in pysan
Case 907: vastyamAna: in pysan
Case 908: vANkzyamARa: in pysan
Case 909: vAtyamAna: in pysan
Case 910: vAyamAna: in pysan
Case 911: vAvftyamAna: in pysan
Case 912: vAsyamAna: in pysan
Case 913: vAhyamAna: in pysan
Case 914: viwyamAna: in pysan
Case 915: viqyamAna: in pysan
Case 916: viRwyamAna: in pysan
Case 917: viTyamAna: in pysan
Case 918: vipyamAna: in pysan
Case 919: vilyamAna: in pysan
Case 920: vizkyamARa: in pysan
Case 921: vIryamARa: in pysan
Case 922: vuRwyamAna: in pysan
Case 923: vUryamARa: in pysan
Case 924: vfMhyamARa: in pysan
Case 925: vfkyamARa: in pysan
Case 926: vfkzyamARa: in pysan
Case 927: vfRyamAna: in pysan
Case 928: vfSyamAna: in pysan
Case 929: vekzyamARa: in pysan
Case 930: veCyamAna: in pysan
Case 931: vewyyamAna: in pysan
Case 932: veDyamAna: in pysan
Case 933: vepyamAna: in pysan
Case 934: velyamAna: in pysan
Case 935: vellyamAna: in pysan
Case 936: vevIyamAna: in pysan
Case 937: vesyamAna: in pysan
Case 938: vehyamAna: in pysan
Case 939: vehlyamAna: in pysan
Case 940: vEyamAna: in pysan
Case 941: vyayyamAna: in pysan
Case 942: vyApyamAna: in pysan
Case 943: vyuzyamARa: in pysan
Case 944: vyozyamARa: in pysan
Case 945: vraRyamAna: in pysan
Case 946: vrAjyamAna: in pysan
Case 947: vrARyamAna: in pysan
Case 948: vrIyamARa: in pysan
Case 949: vruqyamAna: in pysan
Case 950: vlIyamAna: in pysan
Case 951: SaMsyamAna: in pysan
Case 952: SacyamAna: in pysan
Case 953: SawyamAna: in pysan
Case 954: SaWyamAna: in pysan
Case 955: SaRqyamAna: in pysan
Case 956: SaRyamAna: in pysan
Case 957: SabdyamAna: in pysan
Case 958: SambyamAna: in pysan
Case 959: SarbyamARa: in pysan
Case 960: SarvyamARa: in pysan
Case 961: SalByamAna: in pysan
Case 962: SavyamAna: in pysan
Case 963: SazyamARa: in pysan
Case 964: SAKyamAna: in pysan
Case 965: SAwyamAna: in pysan
Case 966: SAWyamAna: in pysan
Case 967: SAqyamAna: in pysan
Case 968: SARyamAna: in pysan
Case 969: SAlyamAna: in pysan
Case 970: SiNKyamAna: in pysan
Case 971: SiNGyamAna: in pysan
Case 972: SiYjyamAna: in pysan
Case 973: SiwyamAna: in pysan
Case 974: SimyamAna: in pysan
Case 975: SilyamAna: in pysan
Case 976: SIkyamAna: in pysan
Case 977: SIByamAna: in pysan
Case 978: SukyamAna: in pysan
Case 979: SucyyamAna: in pysan
Case 980: SuWyamAna: in pysan
Case 981: SuRWyamAna: in pysan
Case 982: SuRqyamAna: in pysan
Case 983: SunyamAna: in pysan
Case 984: SulkyamAna: in pysan
Case 985: SulbyamAna: in pysan
Case 986: SUrpyamARa: in pysan
Case 987: SUryamARa: in pysan
Case 988: SUlyamAna: in pysan
Case 989: SUzyamARa: in pysan
Case 990: SfDyamAna: in pysan
Case 991: SelyamAna: in pysan
Case 992: SevyamAna: in pysan
Case 993: SoWyamAna: in pysan
Case 994: SoRyamAna: in pysan
Case 995: SoyamAna: in pysan
Case 996: SOwyamAna: in pysan
Case 997: ScyutyamAna: in pysan
Case 998: SnaTyamAna: in pysan
Case 999: SmIlyamAna: in pysan
Case 1000: SyAyamAna: in pysan
Case 1001: SraNkyamARa: in pysan
Case 1002: SraNgyamARa: in pysan
Case 1003: SraRyamAna: in pysan
Case 1004: SraTyamAna: in pysan
Case 1005: SramByamARa: in pysan
Case 1006: SrARyamAna: in pysan
Case 1007: SrAyamARa: in pysan
Case 1008: SrizyamARa: in pysan
Case 1009: SroRyamAna: in pysan
Case 1010: SlaNkyamAna: in pysan
Case 1011: SlaNgyamAna: in pysan
Case 1012: SlaTyamAna: in pysan
Case 1013: SlAKyamAna: in pysan
Case 1014: SlokyamAna: in pysan
